timestamp,open,high,low,close price,volum
1636934400000,65496.54,66300.0,63416.24,63619.62,241.639995
1637020800000,63560.0,63560.0,58500.0,60107.0,794.051787
1637107200000,60059.65,60804.4,58413.67,60354.0,320.702804
1637193600000,60343.31,60940.0,56441.68,56895.24,538.83934
1637280000000,56925.27,58311.85,55601.0,58060.32,382.457338
1637366400000,58056.65,59840.86,57387.17,59694.21,263.020397
1637452800000,59715.53,60010.0,58316.87,58628.69,272.997949
1637539200000,58619.47,59389.31,55618.2,56255.69,407.672583
1637625600000,56250.06,57834.28,55386.71,57535.7,417.25242
1637712000000,57535.7,57718.07,55856.72,57171.31,232.157765
1637798400000,57131.84,59378.97,57023.37,58944.98,482.519484
1637884800000,58936.41,59150.64,53510.0,53734.55,602.181796
1637971200000,53734.55,55270.9,53608.26,54737.63,188.030089
1638057600000,54695.68,57420.26,53305.0,57278.13,231.709291
1638144000000,57289.18,58867.48,56706.94,57778.55,301.631998
1638230400000,57772.25,59154.0,55900.0,56869.03,355.883187
1638316800000,56979.06,59020.4,56484.02,57194.86,360.081848
1638403200000,57189.14,57363.0,55800.0,56493.55,240.861848
1638489600000,56482.25,57575.33,51700.0,53709.26,558.598153
1638576000000,53659.68,53845.48,42000.0,49168.43,1221.679531
1638662400000,49196.94,49681.07,47755.02,49383.59,439.548305
1638748800000,49398.92,50878.39,47050.0,50460.51,604.107161
1638835200000,50464.74,51933.32,50040.0,50594.2,295.591869
1638921600000,50607.07,51750.0,48649.99,50467.71,428.872425
1639008000000,50477.15,50778.25,47334.52,47584.79,487.052855
1639094400000,47537.2,50113.89,46899.9,47162.95,639.117698
1639180800000,47162.95,49470.33,46770.0,49363.6,383.238635
1639267200000,49369.68,50764.82,48650.64,50073.3,347.390671
1639353600000,50065.79,50194.29,45750.0,46730.53,570.629735
1639440000000,46714.54,48630.51,46307.49,48374.87,427.667959
1639526400000,48366.94,49474.0,46552.79,48871.21,540.137467
1639612800000,48861.43,49418.98,47536.98,47653.44,328.620331
1639699200000,47611.01,47989.99,45475.2,46155.21,504.986145
1639785600000,46148.09,47324.91,45513.0,46831.42,525.027266
1639872000000,46829.07,48279.64,46431.99,46691.45,575.983512
1639958400000,46695.3,47523.17,45574.69,46899.0,423.237002
1640044800000,46925.71,49320.21,46655.98,48891.85,400.738468
1640131200000,48890.0,49639.73,48439.16,48595.3,297.983022
1640217600000,48591.69,51368.0,48034.52,50800.0,271.508458
1640304000000,50821.93,51803.2,50418.02,50785.15,312.337344
1640390400000,50808.01,51183.3,50165.9,50398.88,162.883331
1640476800000,50411.86,51265.3,49428.51,50779.91,199.234939
1640563200000,50778.79,52080.93,50453.58,50668.9,257.168332
1640649600000,50695.03,50697.57,47308.43,47544.75,432.9806
1640736000000,47557.33,48127.44,46103.9,46467.99,223.299514
1640822400000,46446.19,47891.15,45931.1,47123.57,329.606173
1640908800000,47116.34,48550.0,45680.0,46203.93,565.892259
1640995200000,46202.84,47927.69,46202.84,47725.86,311.611522
1641081600000,47717.61,47981.04,46650.0,47317.51,324.770258
1641168000000,47295.06,47566.39,45702.93,46445.38,299.839825
1641254400000,46452.06,47520.33,45538.05,45843.7,455.486622
1641340800000,45827.66,47047.0,42500.0,43424.71,535.898089
1641427200000,43441.14,43773.01,42361.73,43111.86,397.994072
1641513600000,43084.63,43139.99,40675.05,41517.65,684.665326
1641600000000,41569.59,42300.5,40543.29,41685.08,307.162401
1641686400000,41680.64,42799.29,41233.2,41847.52,167.931491
1641772800000,41849.6,42235.66,39640.84,41829.16,726.79711
1641859200000,41856.09,43111.3,41274.49,42713.34,317.376757
1641945600000,42702.71,44300.0,42471.5,43909.98,299.132281
1642032000000,43881.23,44453.77,42320.05,42535.7,230.872707
1642118400000,42560.3,43451.84,41749.89,43063.99,309.549102
1642204800000,43063.99,43795.31,42563.19,43075.38,111.995796
1642291200000,43085.51,43461.0,42635.0,43078.82,127.945349
1642377600000,43070.84,43174.54,41555.0,42236.06,236.653442
1642464000000,42202.66,42672.73,41290.32,42366.85,325.838504
1642550400000,42362.84,42559.35,41135.05,41664.9,379.791858
1642636800000,41662.79,43498.0,40574.92,40700.0,495.167608
1642723200000,40662.19,41100.0,35470.18,36460.54,1689.493898
1642809600000,36448.53,36816.95,34012.1,35057.14,1273.125142
1642896000000,35067.66,36505.21,34621.1,36262.64,435.199905
1642982400000,36249.95,37500.74,32924.5,36686.09,1247.321003
1643068800000,36668.85,37525.06,35700.0,36926.94,382.637771
1643155200000,36975.15,38896.64,36248.7,36782.46,690.145042
1643241600000,36802.7,37222.36,35530.0,37164.64,422.518495
1643328000000,37161.24,38007.76,36162.58,37729.31,421.160946
1643414400000,37700.0,38888.0,37300.94,38114.81,180.931673
1643500800000,38154.98,38371.44,37358.4,37913.17,167.403982
1643587200000,37890.43,38782.15,36644.21,38467.44,275.484435
1643673600000,38463.59,39300.54,38011.74,38700.86,345.955545
1643760000000,38700.87,38845.71,36611.0,36885.03,303.208688
1643846400000,36897.05,37350.0,36262.05,37314.47,293.130408
1643932800000,37295.22,41738.85,37030.5,41554.95,570.970408
1644019200000,41559.1,41964.58,40943.5,41391.1,293.234895
1644105600000,41385.01,42645.0,41076.0,42373.22,219.348642
1644192000000,42378.45,44500.0,41655.61,43837.46,463.461874
1644278400000,43826.76,45517.0,42677.71,44025.88,463.000229
1644364800000,44030.28,44795.91,43125.05,44378.75,212.624498
1644451200000,44372.09,45800.0,43200.0,43487.65,457.238998
1644537600000,43502.66,43900.77,41955.0,42373.88,308.370395
1644624000000,42348.64,42999.11,41709.0,42190.69,160.190071
1644710400000,42216.1,42738.33,41843.49,42052.86,105.850496
1644796800000,42052.86,42805.85,41548.55,42520.65,181.400984
1644883200000,42529.15,44761.38,42443.25,44543.99,210.829161
1644969600000,44555.95,44555.95,43319.35,43876.31,164.095712
1645056000000,43869.73,44153.81,40078.56,40493.58,330.544423
1645142400000,40466.74,40955.09,39455.0,39988.89,247.028738
1645228800000,39978.2,40431.02,39633.44,40072.58,123.102235
